Waste type,Initial pH ,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia(mg/kg,Nitrate(mg/kg),Total nitrogen (%),Change in total organiz carbon (%),Change in organic matter content (%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg)
livestock manure compost,5.79,30.21986971,74.62,30.0,33.4,20.85,7.09,3.25,589.0,643.9,2.638,32.75,56.46099999,12.41470811,80.03,,,,,,
livestock manure compost,6.05,25.2318314,75.13,0.0,27.6,75.13,6.05,7.58,951.0,323.5,1.376,34.719,59.85555601,25.2318314,13.45,,,,,,
livestock manure compost,6.05,25.2318314,75.13,5.0,67.9,59.39,6.43,4.25,1181.0,432.4,1.372,32.664,56.31273599,23.80758017,77.93,,,,,,
livestock manure compost,6.05,25.2318314,75.13,12.0,59.7,43.55,6.55,3.86,480.0,506.7,1.285,30.782,53.06816799,23.95486381,95.87,,,,,,
livestock manure compost,6.05,25.2318314,75.13,20.0,60.6,33.13,6.63,5.16,1531.0,597.7,1.638,29.63,51.08212,18.08913309,96.19,,,,,,
livestock manure compost,6.05,25.2318314,75.13,25.0,43.8,25.06,6.73,4.33,271.0,553.7,1.785,25.737,44.37058798,14.41848739,86.12,,,,,,
livestock manure compost,6.05,25.2318314,75.13,30.0,32.2,20.04,7.39,3.45,156.0,434.8,2.078,22.5,38.79,10.82771896,87.3,,,,,,
livestock manure compost,6.28,21.21418827,70.39,0.0,16.6,70.39,6.28,4.98,955.0,203.6,2.199,46.65,80.42460001,21.21418827,28.93,,,,,,
livestock manure compost,6.28,21.21418827,70.39,5.0,54.8,67.7,6.23,7.04,1149.0,856.1,1.866,40.526,69.86682399,21.71811361,64.64,,,,,,
livestock manure compost,6.28,21.21418827,70.39,12.0,31.6,29.1,6.65,7.26,734.0,649.2,2.023,37.111,63.97936402,18.34453782,85.65,,,,,,
livestock manure compost,6.28,21.21418827,70.39,20.0,67.2,20.48,7.05,11.14,1470.0,898.7,2.4,32.443,55.93173201,13.51791667,93.18,,,,,,
livestock manure compost,6.28,21.21418827,70.39,25.0,45.8,22.61,6.99,7.21,969.0,386.4,2.59,29.885,51.52174001,11.53861004,98.27,,,,,,
livestock manure compost,6.28,21.21418827,70.39,30.0,34.5,15.37,7.01,4.52,708.0,748.5,2.374,26.724,46.07217598,11.25695029,87.01,,,,,,
livestock manure compost,5.88,25.8912037,75.23,0.0,25.0,75.23,5.88,8.25,1081.0,179.7,1.728,44.74,77.13175999,25.8912037,47.81,,,,,,
livestock manure compost,5.88,25.8912037,75.23,5.0,66.6,62.02,6.59,7.25,1141.0,543.1,1.411,35.935,61.95194001,25.46775337,54.78,,,,,,
livestock manure compost,5.88,25.8912037,75.23,12.0,66.7,70.59,6.98,6.13,1041.0,339.1,1.95,33.694,58.088456,17.27897436,89.68,,,,,,
livestock manure compost,5.88,25.8912037,75.23,20.0,50.7,32.01,7.34,7.81,554.0,916.9,1.797,32.969,56.83855601,18.34668893,114.36,,,,,,
livestock manure compost,5.88,25.8912037,75.23,25.0,34.0,17.33,7.7,5.15,586.0,827.9,1.75,30.653,52.845772,17.516,97.02,,,,,,
livestock manure compost,5.88,25.8912037,75.23,30.0,30.3,15.11,7.7,4.91,589.0,778.7,1.71,26.376,45.47222399,15.4245614,90.54,,,,,,
livestock manure compost,5.74,23.70598007,79.04,0.0,26.6,79.04,5.74,9.78,1441.0,277.8,1.806,42.813,73.80961201,23.70598007,26.74,,,,,,
livestock manure compost,5.74,23.70598007,79.04,5.0,68.8,67.62,6.0,3.13,1084.0,346.6,2.721,41.606,71.72874401,15.29070195,50.11,,,,,,
livestock manure compost,5.74,23.70598007,79.04,12.0,63.4,29.79,6.9,8.64,1466.0,206.2,2.987,37.906,65.349944,12.69032474,97.53,,,,,,
livestock manure compost,5.74,23.70598007,79.04,20.0,57.6,34.46,7.12,7.5,262.0,530.4,3.06,33.733,58.155692,11.02385621,105.32,,,,,,
livestock manure compost,5.74,23.70598007,79.04,25.0,59.7,32.01,7.19,6.0,196.0,354.7,2.983,30.913,53.29401198,10.36305732,87.96,,,,,,
livestock manure compost,5.74,23.70598007,79.04,30.0,34.4,17.33,7.37,3.89,248.0,534.8,2.405,27.589,47.56343599,11.47151767,117.98,,,,,,
livestock manure compost,6.22,25.68904404,73.28,0.0,18.9,73.28,6.22,6.99,442.0,175.4,1.862,47.833,82.464092,25.68904404,42.37,,,,,,
livestock manure compost,6.22,25.68904404,73.28,5.0,56.8,66.51,6.81,5.96,822.0,388.7,2.347,44.701,77.064524,19.04601619,42.14,,,,,,
livestock manure compost,6.22,25.68904404,73.28,12.0,67.2,45.79,5.98,6.13,561.0,593.2,2.459,39.66,68.37383999,16.12850752,77.45,,,,,,
livestock manure compost,6.22,25.68904404,73.28,20.0,63.6,21.72,6.25,6.26,257.0,624.3,2.617,36.543,63.00013199,13.96369889,84.83,,,,,,
livestock manure compost,6.22,25.68904404,73.28,25.0,50.4,29.17,6.14,5.01,114.0,575.7,2.067,32.846,56.62650401,15.8906628,82.83,,,,,,
livestock manure compost,6.22,25.68904404,73.28,30.0,33.7,19.0,6.47,4.31,95.0,586.8,1.988,28.481,49.10124399,14.32645875,88.47,,,,,,
livestock manure compost,5.89,23.34650456,71.02,0.0,30.7,71.02,5.89,5.63,520.0,274.5,1.974,46.086,79.452264,23.34650456,67.54,,,,,,
livestock manure compost,5.89,23.34650456,71.02,5.0,66.4,64.53,6.11,5.25,458.0,343.6,1.719,34.969,60.286556,20.34264107,71.59,,,,,,
livestock manure compost,5.89,23.34650456,71.02,12.0,53.3,53.82,7.11,6.19,812.0,575.1,2.014,35.052,60.42964798,17.4041708,96.23,,,,,,
livestock manure compost,5.89,23.34650456,71.02,20.0,47.1,29.38,7.61,6.11,197.0,853.6,1.554,31.697,54.64562801,20.3970399,110.22,,,,,,
livestock manure compost,5.89,23.34650456,71.02,25.0,37.5,23.14,7.14,6.54,686.0,753.6,1.876,28.713,49.501212,15.3054371,86.95,,,,,,
livestock manure compost,5.89,23.34650456,71.02,30.0,34.2,18.15,7.33,4.0,598.0,702.4,1.743,26.673,45.984252,15.30292599,87.93,,,,,,
livestock manure compost,5.95,23.22417154,63.13,0.0,22.4,63.13,5.95,8.12,588.0,322.3,2.052,47.656,82.158944,23.22417154,17.11,,,,,,
livestock manure compost,5.95,23.22417154,63.13,5.0,64.8,58.1,6.17,5.88,952.0,379.9,1.875,36.957,63.713868,19.7104,54.55,,,,,,
livestock manure compost,5.95,23.22417154,63.13,12.0,58.7,59.27,7.17,5.23,448.0,332.5,2.269,33.303,57.414372,14.67739092,86.75,,,,,,
livestock manure compost,5.95,23.22417154,63.13,20.0,60.1,22.46,7.42,6.22,163.0,441.5,2.526,32.052,55.25764798,12.6888361,90.54,,,,,,
livestock manure compost,5.95,23.22417154,63.13,25.0,35.8,11.01,7.13,7.25,116.0,332.5,2.09,31.014,53.468136,14.83923445,144.17,,,,,,
livestock manure compost,5.95,23.22417154,63.13,30.0,28.1,11.89,7.25,4.25,128.0,344.9,2.596,29.62,51.06488002,11.40986133,106.06,,,,,,
livestock manure compost,5.38,26.21551724,73.14,0.0,28.8,73.14,5.38,7.22,633.0,253.4,1.74,45.615,78.64026,26.21551724,21.04,,,,,,
livestock manure compost,5.38,26.21551724,73.14,5.0,62.2,68.86,5.98,6.41,583.0,381.5,1.561,38.754,66.81189601,24.82639334,58.19,,,,,,
livestock manure compost,5.38,26.21551724,73.14,12.0,58.6,49.21,6.98,7.65,555.0,224.4,2.127,36.917,63.64490798,17.35637047,77.64,,,,,,
livestock manure compost,5.38,26.21551724,73.14,20.0,43.7,21.6,7.22,6.56,200.0,763.8,1.93,34.879,60.13139602,18.07202073,96.09,,,,,,
livestock manure compost,5.38,26.21551724,73.14,25.0,37.3,21.39,7.45,6.36,617.0,762.1,2.5,34.14,58.85736,13.656,82.94,,,,,,
livestock manure compost,5.38,26.21551724,73.14,30.0,33.2,14.95,7.51,4.74,258.0,732.8,2.38,32.02,55.20247999,13.45378151,85.51,,,,,,
livestock manure compost,5.71,22.3655914,73.3,0.0,22.4,73.3,5.71,5.56,522.0,196.0,2.139,47.84,82.47616001,22.3655914,46.18,,,,,,
livestock manure compost,5.71,22.3655914,73.3,5.0,68.2,63.59,6.87,7.64,876.0,387.2,2.351,37.642,64.89480798,16.01105912,78.12,,,,,,
livestock manure compost,5.71,22.3655914,73.3,12.0,53.3,61.49,7.87,6.89,213.0,612.6,2.467,34.535,59.53834001,13.99878395,95.45,,,,,,
livestock manure compost,5.71,22.3655914,73.3,20.0,50.7,30.4,7.88,7.34,692.0,799.9,2.215,32.133,55.39729199,14.50699774,99.98,,,,,,
livestock manure compost,5.71,22.3655914,73.3,25.0,32.1,20.04,7.72,6.0,844.0,953.3,2.425,32.061,55.27316401,13.22103093,99.12,,,,,,
livestock manure compost,5.71,22.3655914,73.3,30.0,32.1,24.23,7.24,4.72,150.0,717.8,2.084,28.305,48.79781999,13.58205374,113.12,,,,,,
livestock manure compost,7.0598,29.258,60.575,1.0,25.505,60.575,7.0598,0.73896,561.7,347.4142,0.29721,8.69577018,83.892,29.258,44.9645,,,,,,
livestock manure compost,7.0598,29.258,60.575,4.0,55.825,58.852,7.3663,0.81221,2385.7,325.4938,0.31581,9.54219915,81.873,30.215,46.8464,,,,,,
livestock manure compost,7.0598,29.258,60.575,7.0,57.904,56.935,8.6766,1.02035,3976.1,476.8103,0.3493,7.5455786,81.579,21.602,36.7017,,,,,,
livestock manure compost,7.0598,29.258,60.575,10.0,46.805,53.834,8.3292,1.17268,2041.3,464.2251,0.31085,6.5023603,79.089,20.918,52.0023,,,,,,
livestock manure compost,7.0598,29.258,60.575,13.0,38.445,43.055,8.1454,1.31569,1950.9,774.4561,0.31829,5.61368073,73.462,17.637,66.4303,,,,,,
livestock manure compost,7.0598,29.258,60.575,16.0,28.03,40.94,7.5881,1.31915,1953.8,1069.5184,0.29597,3.43946737,68.775,11.621,83.7669,,,,,,
livestock manure compost,7.0598,29.258,60.575,19.0,23.606,37.839,7.0074,1.34595,1840.0,327.4587,0.28729,2.23885097,67.54,7.793,88.0149,,,,,,
livestock manure compost,7.0598,29.258,60.575,22.0,20.379,37.299,6.9402,1.32614,1095.8,235.1989,0.27612,1.81189944,57.05,6.562,87.2319,,,,,,
livestock manure compost,7.0365,29.805,60.772,1.0,23.451,60.772,7.0365,0.79478,701.8,352.9873,0.30589,9.11705145,85.618,29.805,48.2472,,,,,,
livestock manure compost,7.0365,29.805,60.772,4.0,57.707,60.034,7.6697,0.91452,2035.5,351.5306,0.33194,9.66642474,83.756,29.121,42.6227,,,,,,
livestock manure compost,7.0365,29.805,60.772,7.0,58.246,55.753,8.6999,1.06221,4653.2,399.9634,0.36667,8.47191035,80.638,23.105,38.6584,,,,,,
livestock manure compost,7.0365,29.805,60.772,10.0,44.237,51.864,8.0957,1.20987,3582.2,684.2351,0.34062,6.84578076,75.01,20.098,46.9946,,,,,,
livestock manure compost,7.0365,29.805,60.772,13.0,31.22,45.616,7.7719,1.35288,1624.0,811.8354,0.33566,6.05765602,71.736,18.047,72.076,,,,,,
livestock manure compost,7.0365,29.805,60.772,16.0,25.463,41.923,7.4013,1.38428,1510.2,839.3314,0.30465,5.03982495,66.892,16.543,84.0724,,,,,,
livestock manure compost,7.0365,29.805,60.772,19.0,21.552,36.855,7.1941,1.36915,1302.9,632.1981,0.26744,3.10792024,62.99,11.621,89.7756,,,,,,
livestock manure compost,7.0365,29.805,60.772,22.0,20.037,35.331,7.1036,1.38662,1399.3,249.3063,0.21907,1.9168625,57.677,8.75,88.4115,,,,,,
livestock manure compost,7.2933,29.531,60.181,1.0,23.452,60.181,7.2933,0.69244,725.2,353.9346,0.30961,9.14309291,85.304,29.531,48.6498,,,,,,
livestock manure compost,7.2933,29.531,60.181,4.0,57.878,62.4,7.9733,0.85408,1405.2,411.5254,0.36047,11.92651042,84.697,33.086,33.0938,,,,,,
livestock manure compost,7.2933,29.531,60.181,7.0,60.128,59.494,8.7933,1.15055,4116.3,369.1504,0.34434,8.23867884,79.697,23.926,38.5183,,,,,,
livestock manure compost,7.2933,29.531,60.181,10.0,47.318,55.41,8.6328,1.21916,2788.4,412.3033,0.35426,7.55565728,73.912,21.328,47.1112,,,,,,
livestock manure compost,7.2933,29.531,60.181,13.0,32.112,51.521,7.9587,1.28778,1997.6,800.5075,0.29101,5.4506173,74.716,18.73,54.701,,,,,,
livestock manure compost,7.2933,29.531,60.181,16.0,26.49,43.892,7.5414,1.32847,1323.5,989.9212,0.28481,4.43904866,69.873,15.586,79.4569,,,,,,
livestock manure compost,7.2933,29.531,60.181,19.0,19.498,39.808,7.3108,1.33196,999.6,952.6446,0.27364,3.44184392,67.383,12.578,87.8938,,,,,,
livestock manure compost,7.2933,29.531,60.181,22.0,18.326,35.92,7.2671,1.3773,815.7,480.281,0.26,2.80826,56.578,10.801,89.0827,,,,,,
livestock manure compost,6.9766,29.961,60.625,1.0,24.016,60.625,6.9766,0.74414,695.0,353.8872,0.30786,9.22379346,83.634,29.961,49.3007,,,,,,
livestock manure compost,6.9766,29.961,60.625,4.0,59.161,62.773,8.7344,0.94766,4911.2,373.5137,0.38242,10.5203742,80.359,27.51,37.4141,,,,,,
livestock manure compost,6.9766,29.961,60.625,7.0,58.106,61.406,8.8516,1.10414,3938.2,376.1275,0.34988,8.4338574,76.773,24.105,35.8784,,,,,,
livestock manure compost,6.9766,29.961,60.625,10.0,45.728,51.836,8.2422,1.19001,2386.1,427.3981,0.32981,7.41116051,70.707,22.471,52.5818,,,,,,
livestock manure compost,6.9766,29.961,60.625,13.0,36.951,41.094,7.7734,1.30414,2015.4,724.1914,0.28731,5.55628809,69.913,19.339,80.6194,,,,,,
livestock manure compost,6.9766,29.961,60.625,16.0,30.406,36.406,7.0469,1.35237,1413.1,874.5527,0.26226,3.42878724,65.088,13.074,92.5491,,,,,,
livestock manure compost,6.9766,29.961,60.625,19.0,27.292,34.844,6.8359,1.4194,787.6,222.9891,0.25463,1.76865998,57.936,6.946,86.6833,,,,,,
livestock manure compost,6.9766,29.961,60.625,22.0,23.835,34.844,6.9297,1.41117,1343.6,177.133,0.24327,1.1263401,52.8,4.63,88.2153,,,,,,
livestock manure compost,7.2344,28.191,62.383,1.0,23.158,62.383,7.2344,0.69237,556.0,359.7326,0.32032,9.03014112,84.254,28.191,46.8313,,,,,,
livestock manure compost,7.2344,28.191,62.383,4.0,41.833,63.359,7.7031,0.94763,2200.8,358.2093,0.35004,9.91558308,77.258,28.327,43.5646,,,,,,
livestock manure compost,7.2344,28.191,62.383,7.0,57.249,55.547,8.3359,1.1559,5027.0,380.7599,0.2951,8.8013575,75.689,29.825,41.4938,,,,,,
livestock manure compost,7.2344,28.191,62.383,10.0,55.164,49.883,8.6172,1.33116,2687.3,323.6826,0.28249,7.84813718,69.932,27.782,41.3911,,,,,,
livestock manure compost,7.2344,28.191,62.383,13.0,42.27,45.781,7.8906,1.38881,1853.3,402.4424,0.24871,6.36772213,71.463,25.603,60.8829,,,,,,
livestock manure compost,7.2344,28.191,62.383,16.0,31.95,40.703,7.3984,1.41353,1575.3,582.3329,0.24109,4.92498652,66.793,20.428,84.026,,,,,,
livestock manure compost,7.2344,28.191,62.383,19.0,29.18,37.969,7.3047,1.40525,787.6,424.1274,0.19362,4.08712458,55.611,21.109,85.4103,,,,,,
livestock manure compost,7.2344,28.191,62.383,22.0,23.493,37.578,7.0938,1.38764,810.8,310.8454,0.16109,3.22486071,55.901,20.019,87.0895,,,,,,
livestock manure compost,7.0938,30.097,59.063,1.0,23.844,59.063,7.0938,0.7112,440.2,340.637,0.29665,8.92827505,83.014,30.097,46.3335,,,,,,
livestock manure compost,7.0938,30.097,59.063,4.0,45.779,61.406,7.7969,0.99472,1853.3,361.8701,0.31641,9.2644848,78.343,29.28,42.6241,,,,,,
livestock manure compost,7.0938,30.097,59.063,7.0,56.219,53.789,8.4531,1.0712,4471.0,391.4318,0.33993,8.74945827,78.479,25.739,43.1519,,,,,,
livestock manure compost,7.0938,30.097,59.063,10.0,50.188,50.664,8.5938,1.27,2223.9,356.3431,0.29494,8.6358432,73.653,29.28,40.8443,,,,,,
livestock manure compost,7.0938,30.097,59.063,13.0,50.163,44.414,8.1719,1.37473,903.5,357.8596,0.2649,7.5758751,66.502,28.599,55.3976,,,,,,
livestock manure compost,7.0938,30.097,59.063,16.0,34.524,41.094,7.8203,1.34295,880.3,428.1493,0.25603,5.71843005,59.196,22.335,75.5718,,,,,,
livestock manure compost,7.0938,30.097,59.063,19.0,30.038,38.555,7.2109,1.40999,718.1,262.1141,0.24342,4.07752842,55.456,16.751,90.3549,,,,,,
livestock manure compost,7.0938,30.097,59.063,22.0,23.492,33.672,6.9063,1.42531,973.0,354.4825,0.20093,2.92795196,54.041,14.572,95.2546,,,,,,
livestock manure compost,7.686,19.73577101,67.805,1.0,30.165,67.805,7.686,2.6778,2299.7,44.32,2.46,32.71627219,87.143,19.73577101,50.571,,,,,,
livestock manure compost,7.686,19.73577101,67.805,3.0,47.159,70.549,6.0235,4.1306,3464.5,8.21,2.5422,32.71627219,80.238,19.73577101,47.332,,,,,,
livestock manure compost,7.686,19.73577101,67.805,5.0,52.945,68.262,5.1546,4.9223,6732.7,69.58,2.6297,32.71627219,76.19,19.73577101,45.772,,,,,,
livestock manure compost,7.686,19.73577101,67.805,7.0,47.027,66.28,6.1686,4.4744,8386.6,104.34,2.5009,32.71627219,74.643,19.73577101,51.653,,,,,,
livestock manure compost,7.686,19.73577101,67.805,9.0,43.747,64.756,7.1305,3.3653,11459.5,108.1,2.4051,32.71627219,72.143,19.73577101,62.399,,,,,,
livestock manure compost,7.686,19.73577101,67.805,11.0,37.665,62.774,7.5743,3.0826,13407.0,196.04,2.4001,32.71627219,70.238,19.73577101,71.285,,,,,,
livestock manure compost,7.686,19.73577101,67.805,13.0,37.681,60.488,7.7454,2.0066,13299.2,339.37,2.3863,32.71627219,69.405,19.73577101,84.601,,,,,,
livestock manure compost,7.686,19.73577101,67.805,15.0,35.061,58.506,7.8917,2.0876,12066.0,480.5,2.2866,32.71627219,68.69,19.73577101,83.225,,,,,,
livestock manure compost,7.686,19.73577101,67.805,17.0,34.252,57.591,7.8148,1.9537,11958.2,566.23,2.2388,32.71627219,67.976,19.73577101,84.515,,,,,,
livestock manure compost,7.686,19.73577101,67.805,19.0,35.093,56.524,8.0851,3.1586,12291.0,658.59,2.2,32.71627219,68.095,19.73577101,89.692,,,,,,
livestock manure compost,7.686,19.73577101,67.805,21.0,34.45,55.762,7.9586,2.843,11449.5,638.02,2.1771,32.71627219,66.19,19.73577101,97.714,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,0.0,27.127,64.8892,6.2436,2.26279,494.97,400.4,1.8111,42.47844495,68.6895,23.4545,60.774,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,4.0,50.686,58.1953,8.0527,2.91739,1269.16,624.85,1.8141,36.22993533,60.7333,19.9713,58.75,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,9.0,33.562,54.08775,8.6699,2.64903,930.47,803.77,1.8448,33.25934576,57.6838,18.0287,68.2,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,15.0,27.348,50.6679,8.4028,2.32317,779.53,1269.08,1.9354,32.5592342,55.8743,16.823,80.197,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,21.0,23.945,49.3773,8.5716,2.21527,609.4,1522.71,1.9611,31.67784441,54.9445,16.1531,88.731,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,27.0,21.319,48.4825,8.3041,2.11999,477.66,1684.77,1.9211,30.06655977,54.097,15.6507,91.071,,,,,,
sludge waste composting,6.2436,23.4545,64.8892,32.0,19.158,47.2609,8.2298,1.98664,434.38,1777.89,1.9285,29.5365203,52.7924,15.3158,87.401,,,,,,
sludge waste composting,6.4231,23.4545,64.037,0.0,27.127,64.037,6.4231,2.17307,494.97,400.4,1.8122,42.5042449,68.5438,23.4545,59.864,,,,,,
sludge waste composting,6.4231,23.4545,64.037,4.0,56.608,55.9498,8.2194,3.28919,1461.0,607.65,1.8008,35.24057552,57.9452,19.5694,53.647,,,,,,
sludge waste composting,6.4231,23.4545,64.037,9.0,36.992,50.17725,8.6891,2.604165,972.63,712.22,1.9259,31.8832745,55.2995,16.555,76.947,,,,,,
sludge waste composting,6.4231,23.4545,64.037,15.0,29.843,46.2543,8.3003,1.91294,714.28,1400.59,1.9182,29.44302726,52.4258,15.3493,88.033,,,,,,
sludge waste composting,6.4231,23.4545,64.037,21.0,27.375,45.3505,8.469,1.80501,521.2,1814.43,1.9534,29.06737336,51.4232,14.8804,81.989,,,,,,
sludge waste composting,6.4231,23.4545,64.037,27.0,23.657,44.3004,8.3041,1.7482,404.79,1987.97,1.9106,27.91845144,50.2811,14.6124,94.715,,,,,,
sludge waste composting,6.4231,23.4545,64.037,32.0,21.652,42.8459,8.063,1.65973,376.89,2029.59,1.8872,27.1973828,48.4619,14.4115,101.068,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,0.0,27.127,64.1145,6.3076,2.07692,494.97,400.4,1.812,42.499554,68.5438,23.4545,59.864,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,4.0,46.632,52.7755,8.322,2.48788,1180.92,670.6,1.7899,36.22614408,60.9524,20.2392,63.487,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,9.0,31.535,46.6536,8.75965,2.350975,861.37,900.96,1.8483,33.44628231,58.12355,18.0957,81.503,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,15.0,24.386,42.9244,8.5951,2.21424,737.33,1297.62,1.9454,32.0105843,55.1396,16.4545,86.029,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,21.0,22.228,41.8657,8.3153,2.17042,574.87,1579.88,1.9217,30.01157324,54.2852,15.6172,93.47,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,27.0,17.578,40.739,8.1118,2.13282,431.69,1770.62,1.937,29.4720361,52.628,15.2153,105.285,,,,,,
sludge waste composting,6.3076,23.4545,64.1145,32.0,16.508,39.8272,8.0887,2.05073,384.55,1840.8,1.939,29.2426407,50.8119,15.0813,94.326,,,,,,
sludge waste composting,6.5,24.1514,66.4665,0.0,22.765,66.4665,6.5,2.01602,528.74,49.778,1.7792,42.97017088,66.4828,24.1514,55.792,,,,,,
sludge waste composting,6.5,24.1514,66.4665,4.0,56.538,54.9136,8.0674,3.22426,1472.3,65.699,1.7027,35.79790534,58.062,21.0242,52.407,,,,,,
sludge waste composting,6.5,24.1514,66.4665,9.0,33.795,49.489,8.0794,2.52403,965.43,90.934,1.8174,33.51430992,54.6743,18.4408,69.768,,,,,,
sludge waste composting,6.5,24.1514,66.4665,15.0,30.571,46.5205,8.4348,2.16018,710.93,137.514,1.8543,31.98686043,51.7656,17.2501,82.955,,,,,,
sludge waste composting,6.5,24.1514,66.4665,21.0,27.489,45.3667,8.2271,2.08467,503.21,175.342,1.8547,30.40298428,50.6552,16.3924,94.046,,,,,,
sludge waste composting,6.5,24.1514,66.4665,27.0,27.975,44.1423,8.1703,2.01602,435.34,194.571,1.8485,29.6687947,50.0948,16.0502,92.203,,,,,,
sludge waste composting,6.5,24.1514,66.4665,32.0,28.463,43.3738,8.3605,1.94737,395.0,202.845,1.8453,29.15574,49.3929,15.8,89.778,,,,,,
sludge waste composting,6.5,24.1514,66.4665,39.0,27.875,42.6051,8.1104,1.93364,381.31,210.053,1.8434,28.60348478,48.8983,15.5167,97.075,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,0.0,22.765,66.4665,6.3899,2.03661,528.74,49.782,1.7804,42.99915256,66.4828,24.1514,55.792,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,4.0,57.468,54.8464,7.9298,3.4508,1686.08,63.51,1.7537,35.5948489,57.5795,20.297,66.868,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,9.0,39.835,48.0885,8.5611,2.79176,1222.02,74.521,1.8269,32.52722374,52.3981,17.8046,75.477,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,15.0,33.978,44.7206,8.4623,2.2357,742.05,129.856,1.8433,30.45647724,50.5934,16.5228,94.371,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,21.0,31.98,43.5001,8.1858,2.01602,499.28,186.281,1.8466,29.0396316,49.4136,15.726,86.247,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,27.0,30.914,42.3416,8.0464,1.94737,431.45,218.64,1.8602,28.27838836,48.6463,15.2018,99.241,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,32.0,31.713,41.8403,7.9614,1.89245,379.39,226.365,1.8382,27.42833366,48.0135,14.9213,118.128,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,39.0,30.504,41.1384,7.904,1.83753,357.97,228.106,1.836,27.0982584,47.7259,14.7594,105.636,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,0.0,22.765,66.4665,6.3899,2.0778,528.74,49.782,1.7804,42.99915256,66.4828,24.1514,55.792,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,4.0,44.623,56.0469,7.7922,3.08009,1378.94,64.605,1.7118,35.72971668,57.9929,20.8726,75.24,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,9.0,33.948,50.5556,8.0519,2.92906,899.36,102.42,1.8239,33.57909334,55.0188,18.4106,82.137,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,15.0,29.797,47.4534,8.2559,2.65446,675.96,138.062,1.8374,32.3079229,52.7311,17.5835,86.759,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,21.0,28.727,46.3669,8.3784,2.52403,518.76,164.401,1.8542,31.18152514,51.8963,16.8167,95.57,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,27.0,27.818,45.3418,8.129,2.42105,454.81,183.081,1.8579,30.43909044,51.681,16.3836,90.49,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,32.0,28.773,44.7071,8.0165,2.34554,402.78,191.358,1.8574,30.13501482,50.9793,16.2243,103.286,,,,,,
sludge waste composting,6.3899,24.1514,66.4665,39.0,28.646,44.672,7.9315,2.29062,389.11,198.563,1.8659,29.85719885,50.5533,16.0015,99.168,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,0.0,15.453,65.8464,6.3541,2.5391,478.6,40.304,1.909,48.2992272,71.2157,25.3008,51.92,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,4.0,59.942,53.9921,8.3609,3.38415,1878.32,54.663,1.8755,37.3209496,63.2262,19.8992,69.354,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,9.0,48.173,46.2136,8.5544,2.54243,1623.11,64.294,1.937,33.3714108,57.2054,17.2284,85.794,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,15.0,31.617,42.5078,8.3051,2.05661,889.11,151.631,1.981,29.4172557,53.0108,14.8497,102.447,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,21.0,27.27,41.1154,8.4979,1.74734,547.22,194.496,1.975,28.9327625,51.7885,14.6495,97.086,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,27.0,24.767,40.1826,8.3108,1.68262,398.8,224.312,1.9912,28.57790152,51.2239,14.3521,120.61,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,32.0,23.519,39.0922,8.2138,1.61861,372.73,237.51,1.9156,27.67160824,50.159,14.4454,127.15,,,,,,
sludge waste composting,6.3541,25.3008,65.8464,39.0,22.255,38.3095,8.1929,1.60638,351.43,242.46,1.9339,27.61087047,49.6016,14.2773,117.962,,,,,,
